n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Train R^2,Val R^2
300,10,2,3,log2,0.3698928687859194,0.015629251232573405
300,10,2,5,sqrt,0.3468988316631634,0.019227665116382776
300,10,2,5,log2,0.3468988316631634,0.019227665116382776
300,10,5,1,sqrt,0.3838655476260091,0.01761533279400429
300,10,5,1,log2,0.3838655476260091,0.01761533279400429
300,10,5,3,sqrt,0.3698928687859194,0.015629251232573405
300,10,5,3,log2,0.3698928687859194,0.015629251232573405
300,10,5,5,sqrt,0.3468988316631634,0.019227665116382776
300,10,5,5,log2,0.3468988316631634,0.019227665116382776
300,10,10,1,sqrt,0.36028402249209507,0.017247863672430454
300,10,10,1,log2,0.36028402249209507,0.017247863672430454
300,10,10,3,sqrt,0.35532257374026,0.017588577835065577
300,10,10,3,log2,0.35532257374026,0.017588577835065577
300,10,10,5,sqrt,0.3468988316631634,0.019227665116382776
300,10,10,5,log2,0.3468988316631634,0.019227665116382776
300,20,2,1,sqrt,0.8420153136494257,0.0007543514346819768
300,20,2,1,log2,0.8420153136494257,0.0007543514346819768
300,20,2,3,sqrt,0.7141680971657661,0.004711118315195273
300,20,2,3,log2,0.7141680971657661,0.004711118315195273
300,20,2,5,sqrt,0.6031860177463552,0.009646101822324416
300,20,2,5,log2,0.6031860177463552,0.009646101822324416
300,20,5,1,sqrt,0.7953369749950822,0.0043480539480034944
300,20,5,1,log2,0.7953369749950822,0.0043480539480034944
300,20,5,3,sqrt,0.7141680971657661,0.004711118315195273
300,20,5,3,log2,0.7141680971657661,0.004711118315195273
300,20,5,5,sqrt,0.6031860177463552,0.009646101822324416
300,20,5,5,log2,0.6031860177463552,0.009646101822324416
300,20,10,1,sqrt,0.705379779484885,0.00337496600769287
300,20,10,1,log2,0.705379779484885,0.00337496600769287
300,20,10,3,sqrt,0.6551283288382399,0.00463731063952616
300,20,10,3,log2,0.6551283288382399,0.00463731063952616
300,20,10,5,sqrt,0.6031860177463552,0.009646101822324416
300,20,10,5,log2,0.6031860177463552,0.009646101822324416
