Fold,Groups,Selected Features,Train R^2,Train MSE,Train MAE,Val R^2,Val MSE,Val MAE
1,"[1, 2, 4, 5, 6, 8, 9, 10]","['ComParE13_LLD_25Hz_F0final_sma_amean', 'ComParE13_LLD_25Hz_voicingFinalUnclipped_sma_amean', 'ComParE13_LLD_25Hz_jitterLocal_sma_amean', 'ComParE13_LLD_25Hz_jitterDDP_sma_amean', 'ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[1]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[4]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[5]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[15]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[17]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[18]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[19]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[24]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[25]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff25.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff50.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[1]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[4]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[7]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[12]_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_de_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[15]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[23]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[24]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[2]_amean']",0.92910485682666,0.07088281143857333,0.2068559000776476,0.2253016457123279,0.7741550875595601,0.7220965734384621
2,"[1, 3, 4, 5, 6, 7, 8, 10]","['ComParE13_LLD_25Hz_F0final_sma_amean', 'ComParE13_LLD_25Hz_jitterLocal_sma_amean', 'ComParE13_LLD_25Hz_jitterDDP_sma_amean', 'ComParE13_LLD_25Hz_shimmerLocal_sma_amean', 'ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[0]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[4]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[18]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[23]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff50.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[1]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_de_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[23]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[24]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[1]_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[2]_amean']",0.9322952809551502,0.06769291762964239,0.20443110952486163,0.2711234048606831,0.7283697268534062,0.6637972913023477
3,"[2, 3, 4, 5, 6, 7, 8, 9]","['ComParE13_LLD_25Hz_F0final_sma_amean', 'ComParE13_LLD_25Hz_voicingFinalUnclipped_sma_amean', 'ComParE13_LLD_25Hz_jitterDDP_sma_amean', 'ComParE13_LLD_25Hz_shimmerLocal_sma_amean', 'ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[0]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[4]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[17]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[18]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[24]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[25]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff25.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff50.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[4]_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_de_amean', 'ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_de_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[5]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[23]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[24]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[2]_amean']",0.9321724803643917,0.06781569269234136,0.20413404445118127,0.216130163425293,0.7833254825215301,0.6814280115161155
4,"[1, 2, 3, 4, 7, 8, 9, 10]","['ComParE13_LLD_25Hz_F0final_sma_amean', 'ComParE13_LLD_25Hz_jitterLocal_sma_amean', 'ComParE13_LLD_25Hz_jitterDDP_sma_amean', 'ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[0]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[4]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[12]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[17]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[18]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[21]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[22]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[24]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff50.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_de_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[8]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[16]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff75.0_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff90.0_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[2]_amean']",0.9307141861654513,0.06927373471777143,0.2084578167796206,0.1691067189654416,0.8303158708323104,0.7145118419265749
5,"[1, 2, 3, 5, 6, 7, 9, 10]","['ComParE13_LLD_25Hz_F0final_sma_amean', 'ComParE13_LLD_25Hz_logHNR_sma_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_audspecRasta_lengthL1norm_sma_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_amean', 'ComParE13_LLD_25Hz_pcm_zcr_sma_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[0]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[2]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[3]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[6]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[7]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[13]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[14]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[16]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[17]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[18]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[20]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[21]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[22]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma[23]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_fband250-650_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff25.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralRollOff50.0_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_amean', 'ComParE13_LLD_25Hz_pcm_Mag_harmonicity_sma_amean', 'ComParE13_LLD_25Hz_mfcc_sma[1]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[2]_amean', 'ComParE13_LLD_25Hz_mfcc_sma[4]_amean', 'ComParE13_LLD_25Hz_audspec_lengthL1norm_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_RMSenergy_sma_de_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[9]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[10]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[11]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[12]_amean', 'ComParE13_LLD_25Hz_audSpec_Rfilt_sma_de[16]_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralFlux_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralCentroid_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralVariance_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSkewness_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralKurtosis_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_spectralSlope_sma_de_amean', 'ComParE13_LLD_25Hz_pcm_Mag_psySharpness_sma_de_amean', 'ComParE13_LLD_25Hz_mfcc_sma_de[2]_amean']",0.930239234751582,0.06974861815365076,0.20613292421832155,0.286845589377716,0.7126563977657041,0.6819272644553243
